Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 8
Overriding: n_embd = 256
Overriding: batch_size = 8
Overriding: max_iters = 2000
Overriding: dropout = 0.2
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h8_e256_bs8_it2000_do02
Overriding: wandb_log = False
tokens per iteration will be: 20,480
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.16M
num decayed parameter tensors: 18, with 3,178,752 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
step 0: train loss 4.2847, val loss 4.2795
iter 0: loss 4.2860, time 1587.14ms, mfu -100.00%
iter 1: loss 4.2536, time 268.17ms, mfu -100.00%
iter 2: loss 4.3000, time 309.03ms, mfu -100.00%
iter 3: loss 4.2541, time 280.59ms, mfu -100.00%
iter 4: loss 4.2544, time 303.47ms, mfu -100.00%
iter 5: loss 4.2301, time 284.37ms, mfu 0.46%
iter 6: loss 4.2175, time 262.04ms, mfu 0.46%
iter 7: loss 4.2296, time 281.14ms, mfu 0.46%
iter 8: loss 4.2278, time 258.72ms, mfu 0.46%
iter 9: loss 4.1906, time 262.92ms, mfu 0.47%
iter 10: loss 4.2005, time 262.31ms, mfu 0.47%
iter 11: loss 4.1733, time 238.18ms, mfu 0.48%
iter 12: loss 4.1519, time 263.40ms, mfu 0.48%
iter 13: loss 4.1329, time 288.09ms, mfu 0.48%
iter 14: loss 4.1104, time 283.92ms, mfu 0.47%
iter 15: loss 4.1155, time 290.39ms, mfu 0.47%
iter 16: loss 4.0802, time 276.52ms, mfu 0.47%
iter 17: loss 4.0536, time 260.31ms, mfu 0.47%
iter 18: loss 4.0261, time 269.67ms, mfu 0.47%
iter 19: loss 4.0024, time 249.53ms, mfu 0.48%
iter 20: loss 3.9672, time 271.31ms, mfu 0.48%
iter 21: loss 3.9303, time 261.77ms, mfu 0.48%
iter 22: loss 3.9303, time 256.99ms, mfu 0.48%
iter 23: loss 3.8391, time 258.80ms, mfu 0.49%
iter 24: loss 3.8608, time 279.38ms, mfu 0.48%
iter 25: loss 3.7941, time 263.76ms, mfu 0.48%
iter 26: loss 3.7724, time 276.78ms, mfu 0.48%
iter 27: loss 3.7638, time 275.23ms, mfu 0.48%
iter 28: loss 3.7690, time 251.45ms, mfu 0.48%
iter 29: loss 3.7933, time 252.60ms, mfu 0.49%
iter 30: loss 3.6710, time 256.68ms, mfu 0.49%
iter 31: loss 3.6467, time 271.21ms, mfu 0.49%
iter 32: loss 3.6357, time 255.31ms, mfu 0.49%
iter 33: loss 3.6968, time 269.89ms, mfu 0.49%
iter 34: loss 3.5641, time 257.93ms, mfu 0.49%
iter 35: loss 3.5692, time 260.91ms, mfu 0.49%
iter 36: loss 3.5380, time 242.78ms, mfu 0.50%
iter 37: loss 3.5235, time 277.44ms, mfu 0.49%
iter 38: loss 3.5909, time 244.02ms, mfu 0.50%
iter 39: loss 3.5176, time 253.72ms, mfu 0.50%
iter 40: loss 3.5185, time 264.25ms, mfu 0.50%
iter 41: loss 3.5572, time 268.73ms, mfu 0.50%
iter 42: loss 3.4646, time 264.35ms, mfu 0.50%
iter 43: loss 3.4995, time 274.06ms, mfu 0.49%
iter 44: loss 3.4514, time 280.21ms, mfu 0.49%
iter 45: loss 3.4876, time 271.30ms, mfu 0.49%
iter 46: loss 3.4546, time 273.53ms, mfu 0.49%
iter 47: loss 3.4117, time 274.84ms, mfu 0.49%
iter 48: loss 3.4130, time 265.77ms, mfu 0.49%
iter 49: loss 3.4557, time 276.76ms, mfu 0.48%
iter 50: loss 3.4961, time 264.17ms, mfu 0.49%
iter 51: loss 3.3642, time 263.49ms, mfu 0.49%
iter 52: loss 3.4017, time 265.58ms, mfu 0.49%
iter 53: loss 3.4575, time 276.14ms, mfu 0.48%
iter 54: loss 3.4858, time 262.12ms, mfu 0.49%
iter 55: loss 3.3595, time 266.97ms, mfu 0.49%
iter 56: loss 3.3881, time 272.50ms, mfu 0.48%
iter 57: loss 3.3426, time 251.60ms, mfu 0.49%
iter 58: loss 3.3931, time 266.75ms, mfu 0.49%
iter 59: loss 3.5018, time 277.62ms, mfu 0.49%
iter 60: loss 3.3890, time 273.52ms, mfu 0.48%
iter 61: loss 3.2996, time 277.93ms, mfu 0.48%
iter 62: loss 3.2976, time 241.45ms, mfu 0.49%
iter 63: loss 3.3800, time 231.32ms, mfu 0.50%
iter 64: loss 3.3152, time 280.77ms, mfu 0.49%
iter 65: loss 3.2917, time 251.83ms, mfu 0.49%
iter 66: loss 3.2260, time 255.29ms, mfu 0.50%
iter 67: loss 3.3085, time 265.69ms, mfu 0.50%
iter 68: loss 3.2114, time 270.74ms, mfu 0.49%
iter 69: loss 3.2806, time 264.81ms, mfu 0.49%
iter 70: loss 3.3111, time 246.16ms, mfu 0.50%
iter 71: loss 3.2726, time 270.32ms, mfu 0.50%
iter 72: loss 3.2629, time 243.93ms, mfu 0.50%
iter 73: loss 3.1951, time 236.78ms, mfu 0.50%
iter 74: loss 3.2188, time 272.95ms, mfu 0.50%
iter 75: loss 3.1873, time 262.56ms, mfu 0.50%
iter 76: loss 3.0858, time 274.22ms, mfu 0.50%
iter 77: loss 3.1922, time 277.07ms, mfu 0.49%
iter 78: loss 3.1043, time 270.51ms, mfu 0.49%
iter 79: loss 3.1353, time 297.07ms, mfu 0.49%
iter 80: loss 3.2693, time 267.58ms, mfu 0.49%
iter 81: loss 3.1320, time 278.13ms, mfu 0.49%
iter 82: loss 3.0721, time 274.33ms, mfu 0.48%
iter 83: loss 3.1720, time 275.82ms, mfu 0.48%
iter 84: loss 3.1533, time 271.89ms, mfu 0.48%
iter 85: loss 3.0926, time 239.65ms, mfu 0.49%
iter 86: loss 3.1073, time 250.97ms, mfu 0.49%
